iter	Passed	Remaining
0	58	58634
1	59	29529
2	59	19800
3	59	14927
4	60	12001
5	60	10061
6	61	8668
7	61	7632
8	61	6818
9	62	6167
10	62	5638
11	63	5192
12	64	4861
13	65	4587
14	65	4305
15	66	4079
16	66	3866
17	67	3684
18	68	3516
19	68	3358
20	68	3215
21	69	3086
22	69	2964
23	70	2859
24	70	2759
25	71	2666
26	71	2579
27	72	2500
28	72	2424
29	72	2353
30	73	2286
31	73	2224
32	73	2166
33	74	2111
34	74	2059
35	75	2011
36	75	1965
37	75	1921
38	76	1880
39	76	1840
40	77	1802
41	77	1765
42	77	1735
43	78	1710
44	79	1680
45	79	1650
46	79	1621
47	80	1592
48	80	1566
49	81	1540
50	81	1515
51	81	1491
52	82	1469
53	82	1446
54	82	1425
55	83	1404
56	83	1384
57	84	1364
58	84	1346
59	84	1329
60	85	1312
61	85	1297
62	86	1282
63	86	1268
64	87	1254
65	87	1239
66	87	1225
67	88	1211
68	88	1198
69	89	1185
70	89	1172
71	89	1159
72	90	1147
73	90	1135
74	91	1123
75	91	1111
76	91	1100
77	92	1090
78	92	1083
79	93	1074
80	93	1064
81	94	1054
82	94	1043
83	94	1033
84	95	1024
85	95	1015
86	95	1006
87	96	998
88	96	990
89	97	981
90	97	974
91	97	965
92	98	957
93	98	950
94	98	942
95	99	935
96	99	927
97	100	920
98	100	914
99	100	908
100	101	901
101	101	895
102	102	888
103	102	882
104	102	876
105	103	870
106	103	864
107	104	859
108	104	853
109	104	848
110	105	842
111	105	837
112	105	831
113	106	825
114	106	820
115	106	815
116	107	811
117	108	808
118	108	803
119	108	799
120	109	794
121	109	790
122	110	785
123	110	781
124	110	776
125	111	772
126	111	767
127	112	763
128	112	759
129	112	755
130	113	751
131	113	747
132	113	742
133	114	739
134	114	735
135	115	731
136	115	727
137	115	723
138	116	719
139	116	715
140	116	712
141	117	707
142	117	704
143	117	700
144	118	697
145	118	693
146	118	690
147	119	686
148	119	683
149	120	680
150	120	677
151	120	673
152	121	670
153	122	672
154	122	669
155	123	666
156	123	663
157	124	661
158	124	658
159	124	656
160	125	653
161	125	651
162	126	649
163	126	646
164	127	643
165	127	641
166	128	638
167	128	636
168	128	633
169	129	631
170	129	628
171	130	626
172	130	623
173	130	621
174	131	618
175	131	615
176	131	613
177	132	610
178	132	608
179	132	605
180	133	603
181	133	600
182	134	598
183	134	596
184	134	594
185	135	591
186	135	590
187	136	588
188	136	587
189	137	585
190	137	583
191	138	582
192	139	581
193	139	580
194	140	579
195	140	577
196	141	576
197	141	574
198	142	573
199	143	572
200	143	570
201	144	569
202	144	568
203	145	566
204	145	565
205	146	563
206	146	561
207	146	559
208	147	557
209	147	555
210	147	553
211	148	551
212	148	549
213	149	547
214	149	545
215	149	544
216	150	543
217	150	541
218	151	539
219	151	537
220	152	535
221	152	534
222	152	532
223	153	530
224	153	528
225	153	526
226	154	524
227	154	523
228	154	521
229	155	519
230	155	518
231	156	516
232	156	514
233	156	512
234	157	511
235	157	510
236	158	509
237	158	507
238	159	506
239	159	505
240	159	503
241	160	501
242	160	500
243	161	498
244	161	497
245	161	495
246	162	494
247	162	492
